,name,city,state,city_long_lat
0,NorthGate Brewing ,Minneapolis, MN,"(44.9772995,-93.2654692)"
1,Against the Grain Brewery,Louisville, KY,"(38.2542376,-85.759407)"
2,Jack's Abby Craft Lagers,Framingham, MA,"(42.2773177,-71.4165905)"
3,Mike Hess Brewing Company,San Diego, CA,"(32.7174202,-117.1627728)"
4,Fort Point Beer Company,San Francisco, CA,"(37.7790262,-122.419906)"
5,COAST Brewing Company,Charleston, SC,"(32.7884363,-79.9399309)"
6,Great Divide Brewing Company,Denver, CO,"(39.7392364,-104.984862)"
7,Tapistry Brewing,Bridgman, MI,"(41.9430986,-86.5569659)"
8,Big Lake Brewing,Holland, MI,"(42.7876022,-86.1090828)"
9,The Mitten Brewing Company,Grand Rapids, MI,"(42.9632405,-85.6678639)"
10,Brewery Vivant,Grand Rapids, MI,"(42.9632405,-85.6678639)"
11,Petoskey Brewing,Petoskey, MI,"(45.373343,-84.95533)"
12,Blackrocks Brewery,Marquette, MI,"(46.4481521,-87.6305899)"
13,Perrin Brewing Company,Comstock Park, MI,"(43.0342874,-85.6655303)"
14,Witch's Hat Brewing Company,South Lyon, MI,"(42.451377,-83.659179)"
15,Founders Brewing Company,Grand Rapids, MI,"(42.9632405,-85.6678639)"
16,Flat 12 Bierwerks,Indianapolis, IN,"(39.7683331,-86.1583502)"
17,Tin Man Brewing Company,Evansville, IN,"(37.9747645,-87.5558483)"
18,Black Acre Brewing Co.,Indianapolis, IN,"(39.7683331,-86.1583502)"
19,Brew Link Brewing,Plainfield, IN,"(39.7042123,-86.3994387)"
20,Bare Hands Brewery,Granger, IN,"(41.73547645,-86.13970768197521)"
21,Three Pints Brewing,Martinsville, IN,"(39.4278253,-86.428328)"
22,Four Fathers Brewing ,Valparaiso, IN,"(41.4730948,-87.0611412)"
23,Indiana City Brewing,Indianapolis, IN,"(39.7683331,-86.1583502)"
24,Burn 'Em Brewing,Michigan City, IN,"(41.7075394,-86.8950297)"
25,Sun King Brewing Company,Indianapolis, IN,"(39.7683331,-86.1583502)"
26,Evil Czech Brewery,Mishawaka, IN,"(41.6611642,-86.1807031)"
27,450 North Brewing Company,Columbus, IN,"(39.2014405,-85.9213796)"
28,Taxman Brewing Company,Bargersville, IN,"(39.5208818,-86.1677657)"
29,Cedar Creek Brewery,Seven Points, TX,"(32.3208898,-96.2134015)"
30,SanTan Brewing Company,Chandler, AZ,"(33.3062031,-111.8411851)"
31,Boulevard Brewing Company,Kansas City, MO,"(39.100105,-94.5781416)"
32,James Page Brewing Company,Stevens Point, WI,"(44.5229223,-89.574111)"
33,The Dudes' Brewing Company,Torrance, CA,"(33.8358492,-118.3406288)"
34,Ballast Point Brewing Company,San Diego, CA,"(32.7174202,-117.1627728)"
35,Anchor Brewing Company,San Francisco, CA,"(37.7790262,-122.419906)"
