,name,city,state_code,state_name,city_longitude,city_latitude
0,NorthGate Brewing ,Minneapolis,MN,Minnesota,-93.2654692,44.9772995
1,Against the Grain Brewery,Louisville,KY,Kentucky,-85.759407,38.2542376
2,Jack's Abby Craft Lagers,Framingham,MA,Massachusetts,-71.4165905,42.2773177
3,Mike Hess Brewing Company,San Diego,CA,California,-117.1627728,32.7174202
4,Fort Point Beer Company,San Francisco,CA,California,-122.419906,37.7790262
5,COAST Brewing Company,Charleston,SC,South Carolina,-79.9399309,32.7884363
6,Great Divide Brewing Company,Denver,CO,Colorado,-104.984862,39.7392364
7,Tapistry Brewing,Bridgman,MI,Michigan,-86.5569659,41.9430986
8,Big Lake Brewing,Holland,MI,Michigan,-86.1090828,42.7876022
9,The Mitten Brewing Company,Grand Rapids,MI,Michigan,-85.6678639,42.9632405
10,Brewery Vivant,Grand Rapids,MI,Michigan,-85.6678639,42.9632405
11,Petoskey Brewing,Petoskey,MI,Michigan,-84.95533,45.373343
12,Blackrocks Brewery,Marquette,MI,Michigan,-87.6305899,46.4481521
13,Perrin Brewing Company,Comstock Park,MI,Michigan,-85.6655303,43.0342874
14,Witch's Hat Brewing Company,South Lyon,MI,Michigan,-83.659179,42.451377
15,Founders Brewing Company,Grand Rapids,MI,Michigan,-85.6678639,42.9632405
16,Flat 12 Bierwerks,Indianapolis,IN,Indiana,-86.1583502,39.7683331
17,Tin Man Brewing Company,Evansville,IN,Indiana,-87.5558483,37.9747645
18,Black Acre Brewing Co.,Indianapolis,IN,Indiana,-86.1583502,39.7683331
19,Brew Link Brewing,Plainfield,IN,Indiana,-86.3994387,39.7042123
20,Bare Hands Brewery,Granger,IN,Indiana,-86.13970768197521,41.73547645
21,Three Pints Brewing,Martinsville,IN,Indiana,-86.428328,39.4278253
22,Four Fathers Brewing ,Valparaiso,IN,Indiana,-87.0611412,41.4730948
23,Indiana City Brewing,Indianapolis,IN,Indiana,-86.1583502,39.7683331
24,Burn 'Em Brewing,Michigan City,IN,Indiana,-86.8950297,41.7075394
25,Sun King Brewing Company,Indianapolis,IN,Indiana,-86.1583502,39.7683331
26,Evil Czech Brewery,Mishawaka,IN,Indiana,-86.1807031,41.6611642
27,450 North Brewing Company,Columbus,IN,Indiana,-85.9213796,39.2014405
28,Taxman Brewing Company,Bargersville,IN,Indiana,-86.1677657,39.5208818
29,Cedar Creek Brewery,Seven Points,TX,Texas,-96.2134015,32.3208898
30,SanTan Brewing Company,Chandler,AZ,Arizona,-111.8411851,33.3062031
31,Boulevard Brewing Company,Kansas City,MO,Missouri,-94.5781416,39.100105
32,James Page Brewing Company,Stevens Point,WI,Wisconsin,-89.574111,44.5229223
33,The Dudes' Brewing Company,Torrance,CA,California,-118.3406288,33.8358492
34,Ballast Point Brewing Company,San Diego,CA,California,-117.1627728,32.7174202
35,Anchor Brewing Company,San Francisco,CA,California,-122.419906,37.7790262
36,Figueroa Mountain Brewing Company,Buellton,CA,California,-120.193669,34.6134727
37,Avery Brewing Company,Boulder,CO,Colorado,-105.270545,40.0149856
38,Twisted X Brewing Company,Dripping Springs,TX,Texas,-98.0866781,30.1902067
39,Gonzo's BiggDogg Brewing,Kalamazoo,MI,Michigan,-85.5872286,42.291707
40,Big Muddy Brewing,Murphysboro,IL,Illinois,-89.3350888,37.7644952
41,Lost Nation Brewing,East Fairfield,VT,Vermont,-72.8584673,44.7844926
42,Rising Tide Brewing Company,Portland,ME,Maine,-70.2572642,43.6592687
43,Rivertowne Brewing Company,Export,PA,Pennsylvania,-79.625599,40.4181235
44,Revolution Brewing Company,Chicago,IL,Illinois,-87.6244212,41.8755616
45,Tallgrass Brewing Company,Manhattan,KS,Kansas,-96.5716694,39.1836082
46,Sixpoint Craft Ales,Brooklyn,NY,New York,-73.9497211,40.6526006
47,White Birch Brewing,Hooksett,NH,New Hampshire,-71.465378,43.096972
48,Firestone Walker Brewing Company,Paso Robles,CA,California,-120.6912456,35.6267654
49,SweetWater Brewing Company,Atlanta,GA,Georgia,-84.3902644,33.7489924
50,Flying Mouse Brewery,Troutville,VA,Virginia,-79.8747687,37.4181901
51,Upslope Brewing Company,Boulder,CO,Colorado,-105.270545,40.0149856
52,Pipeworks Brewing Company,Chicago,IL,Illinois,-87.6244212,41.8755616
53,Bent Brewstillery,Roseville,MN,Minnesota,-93.1566107,45.0060767
54,Flesk Brewing Company,Lombard,IL,Illinois,-88.0201536,41.8864687
55,Pollyanna Brewing Company,Lemont,IL,Illinois,-88.0016263,41.6737149
56,BuckleDown Brewing,Lyons,IL,Illinois,-87.8232695,41.811108
57,Destihl Brewery,Bloomington,IL,Illinois,-88.9939147,40.4797828
58,Summit Brewing Company,St. Paul,MN,Minnesota,-93.0931028,44.9497487
59,Latitude 42 Brewing Company,Portage,MI,Michigan,-85.5800022,42.2011538
60,4 Hands Brewing Company,Saint Louis,MO,Missouri,-90.1910154,38.6280278
61,Surly Brewing Company,Brooklyn Center,MN,Minnesota,-93.3296296,45.0748543
62,Against The Grain Brewery,Louisville,KY,Kentucky,-85.759407,38.2542376
63,Crazy Mountain Brewing Company,Edwards,CO,Colorado,-106.5942,39.644986
64,SlapShot Brewing Company,Chicago,IL,Illinois,-87.6244212,41.8755616
65,Mikerphone Brewing,Chicago,IL,Illinois,-87.6244212,41.8755616
66,Freetail Brewing Company,San Antonio,TX,Texas,-98.4951405,29.4246002
